Gender,Age,Income,Access to Car? ,Overall Feeling Towards Study,Please explain how the BFF Movement has changed your walking behaviour...
Male,27,83540,No,Neutral,"My walking behavior has not changed that much, only sometimes now, I take walk to the next bus stop whereas in the past I would just take the bus."
Male,59,34358,No,Neutral,To walk more each day
Female,59,36238,No,Neutral,It helps to control between calorie taken and burnt.
Male,35,39570,No,Neutral,"It has not changed my walking behaviour. Rather, it created an awareness in me on the number of steps i take each day,which pretty much sum up my work days - a lot of time at my desk or a lot of walking because of out of office meetings. It also tells me the mileage i can get with the types of exercise i do, like cycling or tennis."
Male,34,56862,Yes,Neutral,More aware of the no. of steps i walk per day.
Female,18,65399,No,Neutral,More conscious about how much exercise I have in the day
Female,60,72336,Yes,Neutral,I can use it as a guide for my daily activities
Male,48,80376,Yes,Neutral,Not much changes. Just walk as usually but will take note number of steps I have taken.
Male,23,20754,Yes,Neutral,"More conscious effort to walk, though I am very active"
Female,18,51067,No,Neutral,"Unchanged, but I now get a better indication of how many steps I walk each day, and would aim to complete at least 10,000 each day."
Female,35,88304,No,Neutral,makes me more conscious of the number of steps i walk
Male,38,98313,No,Neutral,Make me more aware of exercise
Male,33,84102,Yes,Neutral,"Mostly I have already walked as much as while I participated in NSC, but a few times I walked more to reach the maximum points for the day."
Female,60,75318,No,Neutral,I walked more consciously
Male,43,44845,Yes,Neutral,"I'm more aware of my levels of daily activity on days when I'm more active vs days when I'm not. However, it has not really changed my behaviour."
Male,59,26571,No,Neutral,"Fat is ugly, I want to stay slim."
Male,34,78412,Yes,Neutral,Not much. But it's satisfying and encouraging when I see the meter hitting past a certain number of steps
Female,59,40045,No,Neutral,"It has encouraged me to track my steps, but has little effect on my walking habits as I am quite physically active."
Female,53,71336,Yes,Negative,"I've always been exercising regularly, so it didn't change anything."
Male,60,62796,No,Negative,No change
Male,59,31000,Yes,Negative,No change.
Male,70,78123,Yes,Negative,It didn't really change my walking behaviour.
Female,54,43000,No,Negative,I tend to keep track of the number of steps taken. Apart from that there is no change in my walking behaviour.
Male,59,60000,Yes,Negative,Not much change on walking behaviour
Male,62,70768,Yes,Negative,not really changed
Male,62,33000,Yes,Negative,No change as I am already walking/running on a regular basis.
Male,24,64753,No,Negative,"It has not changed my walking behavior substantially. I am an avid hiker and on days where I train. I can clock up between 26,000 to 36,000 steps a day, despite frequently forgetting to put the steps tracker back on after trips to the lavatory."
Male,56,55000,Yes,Negative,The campaign didn't change my walking behaviour much as I was already wearing a different activity tracker before the campaign began
Female,60,78872,Yes,Negative,Nil
Male,25,45000,Yes,Negative,No. Still walking the same way
Male,53,77827,Yes,Negative,Has not changed anything
Male,70,72476,No,Negative,Didn't change.
Male,54,33000,Yes,Negative,"It has not changed it significantly, i generally like walking."
Female,26,78784,Yes,Negative,There is no significant change
Male,66,74527,Yes,Negative,No change
Male,52,67412,Yes,Negative,There has been no change to my walking behaviour.
